1 9 58 20 5 3 2
2 1 59 20 5 3 2
3 8 61 17 5 3 2
4 8 62 16 5 3 2
5 7 59 19 1 3 1
6 10 60 18 1 3 1
7 6 64 14 1 3 1
8 7 58 20 6 3 2
9 7 63 15 1 3 1
10 10 60 18 6 3 2
11 7 59 19 1 3 1
12 9 59 19 5 3 2
13 8 58 20 1 3 1
14 10 63 15 5 3 2
15 2 64 15 1 3 1
16 10 58 20 5 3 2
17 1 57 22 1 3 1
18 3 58 21 1 3 1
19 12 57 21 5 3 2
20 11 59 19 5 3 2
21 6 61 17 5 3 2
22 1 63 16 5 3 2
23 9 58 20 1 3 1
24 1 61 18 1 3 1
25 11 59 19 5 3 2
26 9 62 16 1 3 1
27 5 60 18 5 3 2
28 1 64 15 5 3 2
29 10 60 18 5 3 2
30 11 58 20 5 3 2
31 10 63 15 4 1 1
32 11 57 21 8 1 2
33 5 62 16 4 1 1
34 12 58 20 1 3 1
35 8 63 15 5 3 2
36 8 62 16 1 3 1
37 10 58 20 5 3 2
38 8 62 16 5 3 2
39 2 59 20 1 3 1
40 2 60 19 2 3 1
41 4 62 16 2 3 1
42 9 63 15 1 3 1
43 6 61 17 6 3 2
44 4 61 17 5 3 2
45 11 59 19 1 3 1
46 11 62 16 5 3 2
47 2 59 20 1 3 1
48 10 58 20 2 3 1
49 5 58 20 5 3 2
50 9 58 20 5 3 2
51 1 63 16 1 3 1
52 9 58 20 1 3 1
53 3 63 15 4 1 1
54 6 58 20 1 3 1
55 11 58 20 1 3 1
56 5 64 14 5 3 2
57 5 58 20 5 3 2
58 1 57 22 5 3 2
59 1 59 20 1 3 1
60 8 61 17 1 3 1
61 9 62 16 5 3 2
62 7 64 14 5 3 2
63 2 60 19 1 3 1
64 9 61 17 1 3 1
65 10 63 15 5 3 2
66 1 64 15 1 3 1
67 1 58 21 1 3 1
68 3 62 16 5 3 2
69 7 64 14 1 3 1
70 3 61 17 1 3 1
71 5 63 15 1 3 1
72 12 59 19 5 3 2
73 11 63 15 1 3 1
74 11 59 19 5 3 2
75 3 62 17 5 3 2
76 2 64 15 1 3 1
77 5 64 14 5 3 2
78 4 57 21 5 3 2
79 4 60 18 1 3 1
80 6 63 15 1 3 1
81 9 64 14 1 3 1
82 9 58 20 3 2 1
83 7 60 18 3 2 1
84 4 63 15 3 2 1
85 6 59 19 3 2 1
86 10 60 18 7 2 2
87 4 63 15 3 2 1
88 4 57 21 3 2 1
89 3 59 20 7 2 2
90 9 58 20 1 3 1
91 7 63 15 5 3 2
92 8 62 16 5 3 2
93 6 64 14 1 3 1
94 2 57 22 1 3 1
95 7 60 18 5 3 2
96 6 61 17 6 3 2
97 2 58 21 5 3 2
98 9 57 21 6 3 2
99 9 57 21 5 3 2
100 10 63 15 5 3 2
101 9 58 20 1 3 1
102 8 64 14 5 3 2
103 5 58 20 1 3 1
104 6 58 20 5 3 2
105 9 58 20 6 3 2
106 1 61 18 1 3 1
107 2 62 17 1 3 1
108 7 58 20 1 3 1
109 4 62 16 5 3 2
110 5 57 21 1 3 1
111 6 59 19 5 3 2
112 9 63 15 5 3 2
113 1 63 16 1 3 1
114 1 57 22 1 3 1
115 8 60 18 5 3 2
116 12 63 15 5 3 2
117 9 59 19 1 3 1
118 10 61 17 5 3 2
119 5 57 21 1 3 1
120 3 62 17 1 3 1
121 9 64 14 5 3 2
122 11 61 17 1 3 1
123 7 62 16 1 3 1
124 3 61 18 5 3 2
125 2 57 22 1 3 1
126 12 58 20 1 3 1
127 3 60 19 1 3 1
128 7 58 20 5 3 2
129 9 60 18 1 3 1
130 10 59 19 6 3 2
131 4 60 19 6 3 2
132 9 59 19 6 3 2
133 12 62 16 5 3 2
134 6 61 17 1 3 1
135 8 64 14 1 3 1
136 10 57 21 5 3 2
137 7 61 17 5 3 2
138 11 62 16 5 3 2
139 12 63 15 1 3 1
140 9 58 20 5 3 2
141 7 62 16 5 3 2
142 1 60 19 1 3 1
143 6 61 17 5 3 2
144 7 64 14 5 3 2
145 8 62 16 1 3 1
146 1 64 15 1 3 1
147 6 61 17 5 3 2
148 3 63 16 1 3 1
149 2 64 15 5 3 2
150 9 59 19 1 3 1
151 12 57 21 5 3 2
152 10 61 17 5 3 2
153 1 63 16 5 3 2
154 9 64 14 5 3 2
155 10 63 15 1 3 1
156 12 57 21 1 3 1
157 4 62 17 5 3 2
158 9 58 20 5 3 2
159 4 60 18 5 3 2
160 2 60 19 5 3 2
161 3 61 17 5 3 2
162 4 61 17 1 3 1
163 4 62 16 1 3 1
164 3 60 19 5 3 2
165 10 60 18 5 3 2
166 2 62 17 1 3 1
167 2 60 19 5 3 2
168 4 61 17 3 2 1
169 2 63 16 7 2 2
170 1 57 22 5 3 2
171 1 62 17 1 3 1
172 8 57 21 6 3 2
173 10 62 16 1 3 1
174 6 60 18 8 1 2
175 10 57 21 5 3 2
176 9 59 19 5 3 2
177 7 60 18 1 3 1
178 5 58 20 1 3 1
179 8 58 20 5 3 2
180 3 57 21 5 3 2
181 7 58 20 1 3 1
182 8 64 14 1 3 1
183 11 58 20 5 3 2
184 1 61 18 5 3 2
185 10 64 14 1 3 1
186 4 59 19 5 3 2
187 6 64 14 1 3 1
188 1 59 20 5 3 2
189 6 58 21 1 3 1
190 7 61 17 5 3 2
191 8 63 15 1 3 1
192 6 63 15 5 3 2
193 2 58 21 1 3 1
194 6 64 14 1 3 1
195 5 59 19 1 3 1
196 7 64 14 1 3 1
197 9 62 16 5 3 2
198 6 63 15 1 3 1
199 3 59 20 1 3 1
200 9 58 20 5 3 2
201 6 57 21 1 3 1
202 11 60 18 1 3 1
203 1 58 21 8 1 2
204 3 57 21 8 1 2
205 4 57 21 8 1 2
206 8 62 16 1 3 1
207 9 62 16 1 3 1
208 8 58 20 6 3 2
209 5 60 18 1 3 1
210 12 62 16 1 3 1
211 1 64 15 5 3 2
212 3 61 18 1 3 1
213 12 62 16 1 3 1
214 6 64 14 1 3 1
215 7 60 18 1 3 1
216 8 60 18 5 3 2
217 3 62 16 1 3 1
218 6 57 21 1 3 1
219 7 59 19 5 3 2
220 5 61 17 5 3 2
221 8 64 14 7 2 2
222 7 61 17 3 2 1
223 12 62 16 3 2 1
224 5 60 18 7 2 2
225 2 61 18 4 1 1
226 6 63 15 4 1 1
227 9 57 21 7 2 2
228 11 57 21 8 1 2
229 2 63 16 5 3 2
230 9 64 14 1 3 1
231 6 57 21 5 3 2
232 10 61 17 1 3 1
233 4 64 14 1 3 1
234 6 61 17 2 3 1
235 3 63 15 1 3 1
236 12 61 17 5 3 2
237 8 57 21 5 3 2
238 6 57 21 6 3 2
239 1 61 18 6 3 2
240 8 62 16 6 3 2
241 3 64 15 2 3 1
242 11 58 20 5 3 2
243 4 58 20 1 3 1
244 5 57 21 5 3 2
245 8 62 16 5 3 2
