1 5 3 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 61 -4 61 61 61 61 61 61 61 61 61 61 61 61 -5 61 61 61 61 61 61 61 61 61 61 61 61
2 5 3 2 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
3 5 3 2 -4 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 61 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 64 -4 -4 61 -4 -4 -4
4 5 3 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 66 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 61 -4 -4 -5 66 -4 -4 61 61 64 61 66 61 61 61 -4
5 1 3 1 -4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 61 -4 67 -4 -4 61 61 67 61 -5 61 61 61 61 72 61 61 61 61 61 61 61
6 1 3 1 -4 1 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 66 -4 -4 -4 -4 -4 -4 -4 -4 -4
7 1 3 1 0 0 1 0 0 0 0 1 0 0 0 4 1 0 2 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 65 65 65
8 6 3 2 -4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
9 1 3 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 0 1 4 2 15 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
10 6 3 2 -4 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 61 64 -4 61 -4 -4 -4 -4 5 -4 61 66 61 64 64 64 64 61 66 61 61
11 1 3 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 64 -4 -4 -4 -4 -4 61 66 61 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 61 61 61 66 66 64
12 5 3 2 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 61 64 67 61 61 61 67 -4 5 -4 61 61 61 72 61 61 61 61 61 61 64
13 1 3 1 -4 0 0 0 0 0 0 2 0 0 0 3 0 0 0 2 1 1 1 20 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 -4 65 65 65 65 65
14 5 3 2 0 2 0 0 0 0 0 2 0 1 0 1 0 1 0 0 1 1 1 16 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
15 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
